country,count
"Norway, Sweden",3
"India, Germany, Austria",3
"Germany, United States, Hong Kong, Singapore",3
"Finland, Germany, Belgium",3
"Pakistan, United Arab Emirates",3
"United States, Italy, United Kingdom, Liechtenstein",3
"Poland,",3
"United Kingdom, Canada, Japan",3
"Germany, Jordan, Netherlands",3
"Switzerland, Vatican City, Italy, Germany, France",3
"Jamaica, United States",3
"Italy, United Kingdom",3
"France, Japan",3
"Spain, Colombia",3
"Philippines, United States",3
"Sweden, United Kingdom, Finland",3
"Egypt, Saudi Arabia",3
"Mexico, Netherlands",3
"Hong Kong, Taiwan",3
"Italy, France, Switzerland",3
"Switzerland, United States",3
"France, Canada, Belgium",3
"Colombia, Mexico",3
"Norway, Denmark, Sweden",3
"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",3
"Israel, Germany",3
"France, Belgium, Italy",3
"Spain, France, United States",3
"Ireland, Canada, Luxembourg, United States, United Kingdom, Philippines, India",3
"Romania, United Kingdom",3
"United States, India, Bangladesh",3
"Serbia, South Korea, Slovenia",3
"Taiwan, Hong Kong, United States, China",3
"Denmark, United Kingdom, Sweden",3
"Germany, United States, United Kingdom, Canada",3
"United States, United Kingdom, Germany, Hungary",3
"Egypt, Denmark, Germany",3
"United Kingdom, Russia, United States",3
"Australia, France",3
"Germany, France, United States, Canada, United Kingdom",3
"Lebanon, Syria",3
"Canada, Japan, United States",3
"Germany, United Kingdom, United States",3
"France, Lebanon, United Kingdom",3
"Italy, Switzerland, France, Germany",3
"France, United Kingdom, India",3
"United Kingdom, Norway, Denmark, Germany, Sweden",3
"United States, Iceland",3
"Argentina, Venezuela",3
"Spain, France, Canada",3
"Ireland, Luxembourg, Belgium",3
"France, Senegal, Belgium",3
"Brazil, Netherlands, United States, Colombia, Austria, Germany",3
"New Zealand, Australia, France, United States",3
"Soviet Union, India",3
"Australia, Germany",3
"Spain, Portugal",3
"Philippines, Singapore, Indonesia",3
"Singapore, France",3
"United Arab Emirates, Jordan, Lebanon, Saudi Arabia",3
"Spain, Italy",3
"Netherlands, Belgium, United Kingdom, United States",3
"Australia, United Kingdom, United States, New Zealand, Italy, France",3
"United States, China, Hong Kong",3
"United States, Indonesia",3
Zimbabwe,3
"United Kingdom, South Africa, Australia, United States",3
"China, India, Nepal",3
"Australia, New Zealand",3
"Malaysia, Singapore, Hong Kong",3
"Argentina, France",3
"Norway, Denmark",3
Guatemala,3
"United Kingdom, France, Canada, Belgium, United States",3
"Taiwan, Malaysia",3
"Spain, Canada, United States",3
"Georgia, Germany, France",3
"United States, United Kingdom, Italy",3
"India, Japan",3
"Israel, Germany, France",3
"Switzerland, United Kingdom, United States",3
"Poland, West Germany",3
"United Kingdom, Pakistan",3
"United States, Canada, China",3
"Denmark, Germany, Belgium, United Kingdom, France",3
"India, Switzerland",3
"Australia, United Kingdom, Canada",3
"India, Turkey",3
"Canada, United States, India, United Kingdom",3
"France, Lebanon",3
"Romania, Bulgaria, Hungary",3
"Ghana, United States",3
"United Kingdom, Israel, Russia",3
"United States, Canada, Ireland",3
"Spain, United Kingdom, United States",3
"China, United States, Australia",3
"France, Japan, United States",3
"India, Malaysia",3
"Sweden, Netherlands",3
"United Kingdom, United States, Ireland",3
"Mexico, France, Colombia",3
"United States, Philippines",3
"Colombia, United States",3
"Australia, Canada",3
"France, Israel, Germany, United States, United Kingdom",3
Mozambique,3
"Uruguay, Spain, Mexico",3
"Iceland, Sweden, Belgium",3
"France, Germany, Czech Republic, Belgium",3
"Germany, France, Russia",3
"Pakistan, Norway, United States",3
"Canada, United States, Mexico",3
"South Africa, United States, New Zealand, Canada",3
"Spain, France, Italy",3
"Bulgaria, United States, Spain, Canada",3
"United Kingdom, Australia, United States",3
"South Africa, Germany, Netherlands, France",3
"Norway, United States",3
Luxembourg,3
"Turkey, Azerbaijan",3
"United States, Mexico, Spain, Malta",3
"United States, Colombia, Mexico",3
"Denmark, Germany, Belgium, United Kingdom, France, Sweden",3
"India, Nepal",3
"United States, Germany, Canada",3
"United Kingdom, France, Germany, Spain",3
"Ireland, South Africa",3
"Taiwan, China, France, United States",3
"United Kingdom, United States, Germany, Denmark, Belgium, Japan",3
"Argentina, United States",3
"Canada, Nigeria, United States",3
"Norway, Denmark, Netherlands, Sweden",3
"Canada, Germany, South Africa",3
"India, Canada",3
"Czech Republic, United States",3
"United States, South Korea",3
"Canada, Ireland, United States",3
"United Kingdom, Malawi",3
"India, Iran",3
"Uruguay, Argentina, Germany, Spain",3
"India, Pakistan",3
"South Korea, China, United States",3
"Mexico, France",3
"United Kingdom, Jordan, Qatar, Iran",3
"South Korea, China",3
"Slovenia, Croatia, Germany, Czech Republic, Qatar",3
"Philippines, Canada, United Kingdom, United States",3
"France, Belgium, Luxembourg, Romania, Canada, United States",3
", France, Algeria",3
"Mexico, Brazil",3
"United Arab Emirates, Romania",3
"United States, France, United Kingdom",3
"France, Morocco",3
"United Kingdom, Brazil, Germany",3
"Australia, New Zealand, United States",3
"Austria, Germany",3
"United Kingdom, Australia",3
"South Africa, Nigeria",3
"Norway, Germany, Sweden",3
"New Zealand, United Kingdom",3
"Finland, Germany",3
"Australia, India",3
"France, Brazil, Spain, Belgium",3
"Peru, United States, United Kingdom",2
"Japan, Canada, United States",2
"United Kingdom, China",2
"South Africa, United States, Germany",2
"United Kingdom, Germany, United States, France",2
"South Africa, Angola",2
"Hong Kong, China, Singapore",2
"Germany, Sri Lanka",2
"United States, France, Italy, United Kingdom",2
"United States, Germany, Australia",2
"Brazil, United States",2
"Ireland, United Kingdom, Italy, United States",2
"Taiwan, China",2
"Denmark, China",2
"Italy, United Kingdom, France",2
"United Kingdom, West Germany",2
Aziz Ansari,2
"United Kingdom, Lithuania",2
"China, United States, Canada",2
"Indonesia, United Kingdom",2
"United Kingdom, Germany, France, United States",2
"United Kingdom, France, Belgium, United States",2
"United States, Ireland, United Kingdom, India",2
"Brazil, United Kingdom",2
"Denmark, Spain",2
"Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay",2
"United Kingdom, Poland, United States",2
"Israel, Sweden, Germany, Netherlands",2
"China, Hong Kong, United States",2
"United States, Taiwan",2
Cambodia,2
"Denmark, France, Poland",2
"United Kingdom, Italy, Israel, Peru, United States",2
"Australia, United Kingdom, United Arab Emirates, Canada",2
"United States, Sweden, Norway",2
"United Kingdom, Denmark, Canada, Croatia",2
"United States, Czech Republic, United Kingdom",2
"United States, Cambodia, Romania",2
"United States, South Korea, Japan",2
"Italy, United States, Argentina",2
"United States, Spain, Germany",2
"Brazil, India, China, United States",2
"China, Morocco, Hong Kong",2
"France, Netherlands, South Africa, Finland",2
"United Kingdom, Japan",2
"France, Luxembourg, United States",2
"United States, Canada, France",2
"Belgium, United Kingdom",2
"United Kingdom, France, United States, Belgium",2
"United States, Greece, United Kingdom",2
"Australia, Iraq",2
"Canada, Luxembourg",2
"United States, Australia, Samoa, United Kingdom",2
"Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong",2
"United Kingdom, Thailand",2
"United States, Germany, United Kingdom, Italy",2
"Colombia, Peru, United Kingdom",2
"Argentina, Uruguay, Spain, France",2
"Spain, Germany",2
"United States, United Kingdom, Spain, South Korea",2
"Canada, South Korea, United States",2
"United Kingdom, United States, Japan",2
"United States, United Kingdom, Denmark, Sweden",2
"United States, Thailand",2
"United Kingdom, United States, France, Italy",2
Finland,2
"Turkey, South Korea",2
"Venezuela, Colombia",2
"France, South Korea, Japan, United States",2
"Spain, Switzerland",2
"United Kingdom, France, Belgium, Ireland, United States",2
"United States, Canada, Indonesia, United Kingdom, China, Singapore",2
"Finland, Sweden, Norway, Latvia, Germany",2
"United Kingdom, Spain, Belgium",2
"Spain, France, Canada, United States",2
"Ireland, Canada, United Kingdom, United States",2
", South Korea",2
"France, Norway, Lebanon, Belgium",2
"Turkey, France, Germany, Poland",2
"Norway, Germany",2
"United States, United Kingdom, Morocco",2
"Canada, Nigeria",2
Ama K. Abebrese,2
"Germany, Italy",2
"Uruguay, Guatemala",2
Croatia,2
"Canada, Spain, France",2
"Canada, Spain",2
Dominic Costa,2
"United States, Hungary",2
Tantoo Cardinal,2
"United Kingdom, France, Belgium",2
"Canada, Belgium",2
"Netherlands, Denmark, France, Germany",2
"France, Canada, United States, Spain",2
"United Kingdom, Spain, United States",2
"Canada, Germany",2
"Germany, Belgium",2
"United Kingdom, Belgium, Sweden",2
"Canada, United States, Germany",2
"United States, France, Canada, Belgium",2
"Canada, Norway",2
"Indonesia, United States",2
"Canada, Mexico, Germany, South Africa",2
"Argentina, Uruguay, Serbia",2
"United Kingdom, United States, Canada",2
"United States, Germany, United Kingdom, Australia",2
"Belgium, Ireland, Netherlands, Germany, Afghanistan",2
"Thailand, China, United States",2
"United States, Israel, United Kingdom, Canada",2
"United Kingdom, Australia, France",2
"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany",2
"Chile, Argentina, France, Spain, United States",2
"Spain, Belgium",2
"Italy, India",2
"Peru, Germany, Norway",2
"France, Germany, Switzerland",2
"United Arab Emirates, United States, United Kingdom",2
"France, Netherlands, Singapore",2
"France, Malta, United States",2
"Japan, Canada",2
Venezuela,2
"United States, Greece, Brazil",2
West Germany,2
"Italy, Canada, France",2
"United Kingdom, Australia, Canada, United States",2
"United Kingdom, Canada, United States, Cayman Islands",2
"Lebanon, United Arab Emirates, France, Switzerland, Germany",2
"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",2
"Germany, United States, Canada",2
"Lebanon, Palestine, Denmark, Qatar",2
"United States, Italy, Romania, United Kingdom",2
"Spain, Belgium, United States",2
"United States, China, Canada",2
"France, Algeria",2
"Singapore, Malaysia",2
"United States, France, Denmark",2
"Nigeria, United Kingdom",2
Cyprus,2
"United States, France, Mexico",2
"Norway, United Kingdom, France, Ireland",2
"France, China, Japan, United States",2
"United States, France, Canada, Spain",2
"Singapore, Japan, France",2
"Croatia, Slovenia, Serbia, Montenegro",2
"France, United States, Mexico",2
"Romania, France, Switzerland, Germany",2
"United Kingdom, Russia",2
"Indonesia, South Korea, Singapore",2
"Argentina, Italy",2
"Argentina, United States, Mexico",2
Georgia,2
"United Kingdom, China, United States",2
"China, South Korea, United States",2
"United States, Germany, Mexico",2
"Spain, United States",2
"Canada, France, Italy, Morocco, United States",2
"United States, India, United Arab Emirates",2
"India, Australia",2
"United States, France, Canada, Lebanon, Qatar",2
"United States, Cambodia",2
"United States, India, United Kingdom",2
"Spain, Mexico, France",2
"United States, Canada, Germany",2
"Lebanon, United Arab Emirates",2
"United States, Belgium, Canada, France",2
"Denmark, Zimbabwe",2
"United States, India, South Korea, China",2
"United Kingdom, Canada, Italy",2
"United Kingdom, Egypt, United States",2
"United States, Canada, United Kingdom",2
Namibia,2
"Germany, Australia",2
"United Kingdom, Canada, France, United States",2
"Chile, Spain, Argentina, Germany",2
"France, Switzerland, Spain, United States, United Arab Emirates",2
"Russia, Poland, Serbia",2
"Austria, United States",2
"Netherlands, Denmark, South Africa",2
"United States, Chile, Israel",2
"Indonesia, Netherlands",2
"Chile, Peru",2
"Argentina, France, United States, Germany, Qatar",2
"Canada, Japan, Netherlands",2
"Finland, United States",2
"United States, Germany, United Kingdom",2
"Canada, United States, Cayman Islands",2
"Canada, United Kingdom, Netherlands",2
"Germany, Canada, United States",2
"United Kingdom, Namibia, South Africa, Zimbabwe, United States",2
"Canada, Brazil",2
"Switzerland, United Kingdom, Australia",2
"United States, Israel, Italy, South Africa",2
"Kuwait, United States",2
"Chile, Italy",2
"United Kingdom, Singapore",2
"United States, United Kingdom, Canada, China",2
"Canada, Germany, France, United States",2
"Canada, United Kingdom, United States",2
"China, United States, United Kingdom",2
"Italy, Switzerland, Albania, Poland",2
"United Kingdom, United States, Morocco",2
"France, Belgium, Luxembourg, Cambodia,",2
"United States, United Kingdom, France, Germany, Japan",2
"Philippines, Singapore",2
"China, Spain, South Korea, United States",2
"Uruguay, Argentina, Spain",2
"United Kingdom, Germany, Canada, United States",2
"India, United Kingdom, Canada, United States",2
"Spain, Italy, Argentina",2
"Austria, Czech Republic",2
Cameroon,2
"Mauritius, South Africa",2
"Ireland, United States, France",2
"Lebanon, United States, United Arab Emirates",2
"Germany, China, United Kingdom",2
"India, United Kingdom, China, Canada, Japan, South Korea, United States",2
"Belgium, France, Netherlands",2
Bulgaria,2
"Czech Republic, Slovakia",2
"United Kingdom, South Africa, France",2
"United Kingdom, Poland",2
"Russia, United States",2
"United Kingdom, Ukraine, United States",2
"Portugal, United States",2
"Austria, Iraq, United States",2
"Netherlands, Belgium, Germany, Jordan",2
"United Kingdom, China, United States, India",2
"Italy, Belgium",2
"Denmark, Indonesia, Finland, Norway, United Kingdom, Israel, France, United States, Germany, Netherlands",2
"France, Germany",2
"Iran, France",2
"United States, Switzerland",2
Mauritius,2
"United States, Canada, Japan, Panama",2
"Denmark, France, Belgium, Italy, Netherlands, United States, United Kingdom",2
"Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",2
"Paraguay, Argentina",2
"Greece, United States",2
"United States, France, South Korea, Indonesia",1
"United Kingdom, Germany, United Arab Emirates, New Zealand",1
"France, United States, United Kingdom, Canada",1
"United States, Brazil, South Korea, Mexico, Japan, Germany",1
"United States, Australia, China",1
"United States, Nicaragua",1
"France, Luxembourg, Canada",1
"United States, France, Serbia",1
"United States, Norway, Canada",1
"United States, China, Colombia",1
"Cambodia, United States",1
"Tobechukwu \"\"iLLbliss\"\" Ejiofor",1
"France, South Korea, Japan",1
"United States, Brazil, India, Uganda, China",1
"Ireland, Canada",1
"Netherlands, United States",1
"France, Canada, United States",1
"France, Australia, Germany",1
"United States,",1
"Switzerland, France, Belgium, United States",1
"France, Belgium, China, United States",1
"Sophia Loren\"",1
"Henri-Noël Tabary\"",1
"Canada, India, Thailand, United States, United Arab Emirates",1
"United States, Uruguay",1
"United Kingdom, Germany, Spain, United States",1
"Kenya, United States",1
"United Kingdom, India, Sweden",1
"Netherlands, Germany, Denmark, United Kingdom",1
Rob Morgan,1
"United States, France, United Kingdom, Japan",1
"United States, India, France",1
"United States, Australia, Mexico",1
"South Korea, France",1
"United States, Australia, South Africa, United Kingdom",1
"Canada, France, United States",1
"Germany, Australia, France, China",1
"South Africa, China, United States",1
"United States, Hungary, Ireland, Canada",1
Doug Plaut,1
"United States, Denmark",1
"Denmark, Sweden, Israel, United States",1
"France, Canada, Italy, United States, China",1
"Denmark, Singapore, Canada, United States",1
"Hungary, United States",1
"United Kingdom, South Africa",1
"United States, Canada, Belgium, United Kingdom",1
"Germany, United States, Italy",1
"Remilekun \"\"Reminisce\"\" Safaru",1
"Canada, United States, United Kingdom, France, Luxembourg",1
"United Kingdom, Germany, Canada",1
"United States, Italy, France, Japan",1
"James Toback\"",1
Francesc Orella,1
Lachion Buckingham,1
"Ireland, United States",1
"plus Whitney Cummings gives suspect dating advice.\"",1
"United Kingdom, South Korea",1
"France, United Kingdom",1
"India, Germany, France",1
"South Korea, Canada, United States, China",1
"Ireland, United States, United Kingdom",1
"Australia, France, Ireland",1
"Mexico, Argentina",1
"Somalia, Kenya, Sudan, South Africa, United States",1
"United States, Kazakhstan",1
"United States, New Zealand, United Kingdom",1
Leonardo Sbaraglia,1
"United Kingdom, Hungary, Australia",1
"Italy, Brazil, Greece",1
"Ireland, Switzerland, United Kingdom, France, United States",1
"United States, United Kingdom, Japan",1
"China, Germany, India, United States",1
"United Kingdom, France, Germany",1
"Thailand, Canada, United States",1
"France, New Zealand",1
"Netherlands, Germany, Italy, Canada",1
"Ireland, Canada, United States, United Kingdom",1
"South Africa, United States, Japan",1
"United Kingdom, Hong Kong",1
"United States, Bermuda, Ecuador",1
"Germany, United States, Sweden",1
"United Kingdom, France, Spain, United States",1
"United States, Netherlands, Japan, France",1
"United States, China, United Kingdom",1
"United States, Venezuela",1
"United States, Singapore",1
"Germany, United States, France",1
"Canada, United States, Ireland",1
"Spain, Thailand, United States",1
"Theo Campbell\"",1
"Justin \"\"Alyssa Edwards\"\" Johnson",1
"United States, Brazil, Japan, Spain, India",1
"United States, Senegal",1
"United States, Malta, France, United Kingdom",1
"United States, United Kingdom, India",1
"United Kingdom, Australia, France, United States",1
"France, United States, Canada",1
"United States, Botswana",1
Chuck D.,1
"Russia, Spain",1
"Czech Republic, United Kingdom, United States",1
Michael Cavalieri,1
"New Zealand, United Kingdom, Australia",1
"United States, France, Canada",1
"United Kingdom, Czech Republic, United States, Germany, Bahamas",1
"United States, New Zealand, Japan",1
"India, Mexico",1
"Canada, Hungary, United States",1
"Italy, South Africa, West Germany, Australia, United States",1
"United States, Morocco",1
